ArrivalTime	NegPerChick
22.25	0.8
22.38	0
22.53	0.4
22.56	0.4
22.61	0.4
22.65	0.4
22.76	3.6
22.9	0.8
22.98	3.6
23.07	0
23.18	0
23.28	0.6
23.38	0
23.43	0.6
23.45	0.6
23.68	1.2
24	0
24.21	0.8
24.25	0
24.58	1.4
24.65	1.4
24.95	0
25.25	3.2
25.75	1.4
27.71	0
27.85	1.4
28.02	3.2
28.82	1
22.81	0.75
23.2	0.5
23.22	3.25
23.23	3.25
23.33	5.5
23.36	0.5
23.4	0.5
23.45	0.5
23.46	5.5
23.5	3
23.51	0
23.53	3
23.78	3
23.88	0
23.95	0
24.35	0
24.45	0
26.3	0
26.43	0
27.1	0
27.33	0
27.55	0
27.98	0
22.08	1
22.36	0
22.46	0
22.62	3.33333333
22.83	6
22.98	6
23.1	0
23.15	0
23.56	0.66666667
23.73	0.66666667
23.95	1.33333333
24.1	0
24.21	0
24.53	1
24.78	2.33333333
24.93	2.33333333
25.03	4.33333333
25.28	5.33333333
25.63	4.66666667
25.71	0
25.82	0
26.6	0
27.28	0
27.4	0
27.5	0
27.66	0
27.66	0
27.91	0
28.58	0.33333333
29.23	1
22.36	5.75
22.55	4.75
22.66	4.75
23.13	3.5
23.26	4.5
23.33	4.5
23.58	3.5
23.68	3.5
23.82	1.5
23.93	1.5
24.63	3
24.66	3
24.88	3
25.38	4.75
25.5	0
25.95	4.25
26.65	0.75
26.85	2.75
27.06	0.5
27.66	1.5
22.35	0
23.2	0
23.88	0
24.01	0
24.76	0
25.31	8.5
25.98	0
26.05	2.5
27.53	2.5
28.31	3.5
22.76	0.66666667
24.11	3
25.15	2.33333333
25.38	0.66666667
25.63	1.33333333
26.03	3
26.3	1.66666667
26.73	2
28.43	1
28.86	2.33333333
28.98	1.66666667
29.11	6.66666667
22.01	0.8
22.15	0.8
22.26	2.8
22.46	0
22.51	0
22.7	1.8
22.85	2.8
23.13	1.2
23.3	0.4
23.31	1.6
23.7	0.4
23.73	0
23.76	1
23.81	1
24.05	0
24.38	0
24.43	0
24.58	0
24.65	0
25.05	0
25.61	0
25.61	0.2
26.28	0
26.33	1
26.48	1
26.85	0.2
27.5	2
27.55	1.6
28.26	0.4
28.35	2
28.7	0.4
28.81	2.6
28.9	2.6
29.25	2.6
23.25	0
23.92	0.25
24.26	0
24.3	0
22.36	0
22.45	0
22.66	4.75
22.68	4.75
22.75	4.75
22.76	2
23.05	2.25
23.48	0.25
23.65	1
23.8	0.75
23.9	0.75
24.05	1.5
24.08	1.5
24.25	1.5
24.58	0
24.68	0
24.73	0
25.11	0.75
25.26	0
26.36	1
26.6	1
26.71	1
26.95	3.5
27.1	1.25
27.25	2
27.38	4
22.46	1.2
22.83	1.8
22.91	0.2
23.08	2.2
23.75	2.2
23.91	2.4
25.26	2.4
25.56	0.4
26.85	1.8
28.78	0
23.15	8
23.25	8
23.8	1.5
24.05	0
24.53	0
24.55	0
24.81	0
24.85	2.5
25.1	4.5
25.8	5
26.3	1.5
27.23	0
27.4	0
27.61	0
28.78	1
22.51	3
22.63	3
22.68	1
22.76	8.5
22.91	1.5
23.06	0
23.28	0
23.81	0
23.96	0
25.88	0
26.78	0
27.63	0
28.26	0
22.66	0.6
23.11	1.8
23.16	0
23.41	0
25.58	2.4
25.9	0
25.93	0.4
26.16	2.2
26.33	1
26.56	0.6
26.6	0
26.75	0.6
26.83	0.6
26.98	0
27.48	0
27.51	0
28	0
28.8	0
28.98	0.4
21.78	0
21.81	0
22.3	1
22.31	0
22.51	3.33333333
22.63	3.33333333
23.06	3.33333333
23.38	0
23.41	0
23.68	3.66666667
24.03	0
24.43	0
26.55	0
26.76	0
27.45	0
27.6	3.66666667
28.26	2
22.36	2.25
22.38	5.75
22.68	3.75
22.76	0.5
22.81	3
22.9	3
22.98	3
23.03	0
23.38	0
23.45	0
23.51	3.5
23.56	3.5
23.6	3.5
24.25	0.5
25.05	3.25
25.1	0
25.36	0.25
26.2	0
26.5	1
26.61	2
26.81	0.25
26.85	0
27.08	1
27.16	0
27.53	1.25
28.03	2
28.13	2.25
28.26	1.75
28.4	1.75
22.31	4
22.51	3.25
22.55	3.25
22.98	3.75
23.01	3.5
23.15	3.5
23.25	1.5
23.63	3.75
23.66	3.75
23.7	1.5
24.4	0
24.85	0.25
25.13	0
26.78	2.25
26.93	2.25
27.31	0.75
28.58	0.5
22.28	3
22.53	1.5
22.65	1.5
22.73	3.25
22.98	7
23.35	0
23.4	1.5
23.86	0
24.23	0.75
24.31	0.5
24.41	1
24.48	1
24.58	2
24.63	2
25.13	3.25
25.53	1.75
25.58	1
25.63	0
25.68	0
25.86	3
25.96	1
26.06	4.25
26.38	1.75
26.53	1.25
26.76	0.25
27.38	0
27.46	0
22.7	1.2
22.95	3
23.11	3.4
23.33	2
23.55	0.4
23.6	3
23.63	0.4
23.81	2
24.05	0
24.06	1.4
24.08	1.4
24.2	1.4
24.3	3
24.35	1
24.43	1
24.48	3
24.61	3.8
24.66	0
24.7	3.8
24.81	2.4
24.85	2
24.9	2.4
24.96	2
25.03	4
25.1	4
25.36	1.4
25.38	1.4
25.55	4.4
25.73	4.4
25.9	0.8
26.55	2.8
26.83	0.8
26.91	0
26.93	0
27.23	0.4
27.43	0
27.56	2.4
27.83	0.8
28.3	0.4
28.38	0.4
28.86	0.2
22.23	0.75
22.26	6
22.5	6
22.51	3.5
22.58	3.5
22.6	3.5
22.61	3.5
22.63	3.5
22.66	3.5
22.78	3.5
22.86	3.5
22.93	3.5
23.1	0
23.4	0
23.78	0
23.8	0
25.7	0.75
25.83	0
26.23	1.5
26.41	4.25
27.25	1.25
27.53	0
27.73	0
27.96	0.75
21.76	2.2
22.13	3.4
22.28	3.4
22.38	0.4
22.4	2.4
22.61	2.4
22.73	2.6
22.85	2
22.96	3.2
