ArrivalTime	SiblingNegotiation
22.25	4
22.38	0
22.53	2
22.56	2
22.61	2
22.65	2
22.76	18
22.9	4
22.98	18
23.07	0
23.18	0
23.28	3
23.38	0
23.43	3
23.45	3
23.68	6
24	0
24.21	4
24.25	0
24.58	7
24.65	7
24.95	0
25.25	16
25.75	7
27.71	0
27.85	7
28.02	16
28.82	5
22.81	3
23.2	2
23.22	13
23.23	13
23.33	22
23.36	2
23.4	2
23.45	2
23.46	22
23.5	12
23.51	0
23.53	12
23.78	12
23.88	0
23.95	0
24.35	0
24.45	0
26.3	0
26.43	0
27.1	0
27.33	0
27.55	0
27.98	0
22.08	3
22.36	0
22.46	0
22.62	10
22.83	18
22.98	18
23.1	0
23.15	0
23.56	2
23.73	2
23.95	4
24.1	0
24.21	0
24.53	3
24.78	7
24.93	7
25.03	13
25.28	16
25.63	14
25.71	0
25.82	0
26.6	0
27.28	0
27.4	0
27.5	0
27.66	0
27.66	0
27.91	0
28.58	1
29.23	3
22.36	23
22.55	19
22.66	19
23.13	14
23.26	18
23.33	18
23.58	14
23.68	14
23.82	6
23.93	6
24.63	12
24.66	12
24.88	12
25.38	19
25.5	0
25.95	17
26.65	3
26.85	11
27.06	2
27.66	6
22.35	0
23.2	0
23.88	0
24.01	0
24.76	0
25.31	17
25.98	0
26.05	5
27.53	5
28.31	7
22.76	2
24.11	9
25.15	7
25.38	2
25.63	4
26.03	9
26.3	5
26.73	6
28.43	3
28.86	7
28.98	5
29.11	20
22.01	4
22.15	4
22.26	14
22.46	0
22.51	0
22.7	9
22.85	14
23.13	6
23.3	2
23.31	8
23.7	2
23.73	0
23.76	5
23.81	5
24.05	0
24.38	0
24.43	0
24.58	0
24.65	0
25.05	0
25.61	0
25.61	1
26.28	0
26.33	5
26.48	5
26.85	1
27.5	10
27.55	8
28.26	2
28.35	10
28.7	2
28.81	13
28.9	13
29.25	13
23.25	0
23.92	1
24.26	0
24.3	0
22.36	0
22.45	0
22.66	19
22.68	19
22.75	19
22.76	8
