Month	GSI
1	10.4432
1	9.8331
1	9.7356
1	9.3107
1	8.9926
1	8.7707
1	8.2576
1	7.4045
1	7.2156
2	6.8372
1	6.3882
6	6.3672
2	6.2998
1	6.0726
6	5.8395
6	5.807
6	5.7774
1	5.7757
5	5.6484
5	5.6141
5	5.6017
6	5.551
5	5.311
5	5.297
6	5.2253
6	5.1667
6	5.1405
6	5.1292
6	5.0782
6	5.0612
5	5.0097
6	4.9745
6	4.9172
2	4.9041
5	4.9009
6	4.8783
5	4.7918
6	4.7862
5	4.7681
6	4.6603
6	4.6148
6	4.6108
6	4.5811
6	4.5528
5	4.4897
6	4.4573
5	4.3419
5	4.2968
5	4.2676
6	4.2048
6	4.1981
6	4.1006
6	4.0654
5	3.9219
5	3.9197
5	3.9141
5	3.5899
6	3.5008
5	3.2541
6	3.2487
6	3.2304
5	3.2263
6	3.1848
5	3.13
6	2.9683
5	2.9544
6	2.939
5	2.9327
6	2.8933
6	2.8593
5	2.8534
6	2.8188
6	2.8129
6	2.8037
6	2.7928
5	2.7601
5	2.6601
6	2.6492
5	2.6353
5	2.6341
5	2.6241
5	2.6151
5	2.6064
5	2.5951
4	2.5781
5	2.5674
5	2.5616
6	2.5545
5	2.5526
6	2.499
6	2.4789
6	2.4606
5	2.4559
6	2.4425
5	2.4356
5	2.4238
5	2.4145
6	2.4062
5	2.4038
6	2.402
6	2.4006
5	2.3993
5	2.3976
5	2.3923
5	2.3882
6	2.3848
5	2.3847
5	2.3746
5	2.3731
5	2.3723
5	2.3714
6	2.3496
6	2.3495
5	2.3282
5	2.3251
5	2.322
6	2.3018
5	2.3011
5	2.3
6	2.286
5	2.2739
5	2.2397
5	2.2392
5	2.2346
5	2.2333
5	2.2233
5	2.2004
5	2.187
5	2.1861
6	2.1664
5	2.1595
3	2.1571
6	2.1351
5	2.1322
5	2.0922
5	2.0816
4	2.0776
5	2.0694
5	2.0692
5	2.0688
5	2.058
5	2.0413
3	2.0259
5	2.0219
6	2.0017
5	1.9842
5	1.9821
4	1.9814
4	1.9621
5	1.9606
5	1.9531
4	1.9021
6	1.8667
4	1.8623
5	1.8468
5	1.8295
6	1.8123
5	1.7984
4	1.7695
5	1.7658
4	1.7217
6	1.7187
6	1.6963
5	1.6953
5	1.6927
5	1.6779
3	1.6679
5	1.6669
5	1.616
4	1.6157
3	1.6
6	1.5894
5	1.5658
4	1.5652
5	1.5375
4	1.5303
5	1.5284
5	1.528
5	1.5168
5	1.5011
5	1.49
5	1.4554
4	1.4546
5	1.451
3	1.4418
5	1.437
5	1.4348
3	1.4332
4	1.4224
5	1.3878
3	1.3794
3	1.3694
5	1.3402
3	1.3306
3	1.3258
2	1.309
5	1.2717
1	1.261
5	1.2585
5	1.2556
5	1.2392
3	1.2091
3	1.2007
1	1.1997
3	1.1983
6	1.181
5	1.1784
3	1.1496
2	1.147
5	1.1318
3	1.1313
5	1.1275
5	1.1014
3	1.0964
5	1.0565
5	1.042
3	1.0419
5	1.04
5	1.0375
5	1.0286
3	1.0226
5	1.0218
3	1.0215
5	1.001
5	0.9874
5	0.9872
4	0.9868
2	0.9824
5	0.968
6	0.9612
3	0.9479
4	0.9418
5	0.9369
2	0.9219
3	0.9172
4	0.9
4	0.8954
3	0.8877
5	0.8876
5	0.8761
5	0.8734
5	0.8567
5	0.8398
1	0.8373
5	0.8111
3	0.799
5	0.7363
5	0.7354
3	0.7294
3	0.7004
3	0.6882
3	0.6839
3	0.6767
5	0.6748
1	0.6716
4	0.66
3	0.6459
5	0.6379
5	0.6268
5	0.6255
3	0.6212
4	0.5876
4	0.5798
1	0.5758
2	0.5685
5	0.5602
3	0.556
5	0.5558
5	0.5556
3	0.5533
1	0.5518
3	0.5493
5	0.5463
3	0.5444
2	0.5318
3	0.5307
6	0.5175
4	0.4943
1	0.4921
3	0.4832
1	0.4808
3	0.4774
2	0.4756
3	0.4653
5	0.4506
6	0.4377
4	0.4259
2	0.4132
4	0.3976
3	0.3905
3	0.3904
1	0.3828
4	0.3763
5	0.3759
5	0.3659
5	0.3541
4	0.343
3	0.3421
5	0.3392
5	0.3392
3	0.3352
1	0.3289
6	0.3267
2	0.3122
5	0.3117
4	0.3041
3	0.3039
3	0.3028
5	0.2986
3	0.2895
5	0.2878
2	0.287
4	0.2828
5	0.2786
5	0.2783
4	0.2773
1	0.2758
3	0.2739
2	0.2738
2	0.2683
3	0.265
5	0.2642
5	0.2641
5	0.2638
4	0.2636
2	0.26
2	0.2577
2	0.2529
1	0.2506
3	0.2463
6	0.2388
3	0.2352
2	0.2321
3	0.2316
2	0.2294
5	0.226
3	0.2252
5	0.2242
5	0.2219
2	0.2214
2	0.2207
2	0.2204
5	0.22
3	0.2199
6	0.2191
2	0.2189
3	0.2178
4	0.217
3	0.216
4	0.2156
4	0.2144
1	0.2092
3	0.2065
3	0.2061
5	0.2056
2	0.2046
5	0.2034
3	0.2028
2	0.2024
2	0.1985
5	0.1979
